countries_first	languages_first	running_times_first	kind
France	Kriolu	1.5	1
France	Kurdish	1.4466666666666665	5
France	Kyrgyz	1.4333333333333333	2
France	Ladakhi	1.5	1
France	Latin	1.9166666666666667	1
France	Lingala	1.5833333333333333	3
France	Lithuanian	1.5	1
France	Macedonian	1.3666666666666667	1
France	Malagasy	1.4388888888888889	6
France	Malayalam	1.9833333333333334	1
France	Malinka	1.3833333333333333	1
France	Mandarin	1.788235294117647	17
France	Mongolian	1.6583333333333332	2
France	More	1.35	1
France	Nepali	1.4166666666666667	1
France	None	1.3166666666666669	17
France	Norwegian	1.1833333333333333	1
France	Occitan	1.9222222222222223	3
France	Ojihimba	1.25	1
France	Parsee	1.3833333333333333	1
France	Pashtu	1.6166666666666667	1
France	Persian	1.4882352941176469	17
France	Peul	1.5	1
France	Polish	1.5	4
France	Portuguese	1.4905555555555554	30
France	Quechua	1.1166666666666667	1
France	Romanian	1.4783333333333335	10
France	Russian	1.6362745098039213	34
France	Serbian	1.9	2
France	Serbo-Croatian	1.4499999999999997	4
France	Slovenian	1.45	1
France	Somali	1.5	1
France	Sousson	1.2166666666666666	1
France	Spanish	1.524810606060605	88
France	Swahili	1.4166666666666667	1
France	Swiss German	1.55	1
France	Tagalog	2.0	1
France	Tamil	1.7416666666666667	2
France	Tibetan	1.6833333333333333	2
France	Turkish	1.5870370370370372	9
France	Ukrainian	1.425	2
France	Urdu	1.3	1
France	Uzbek	1.5	1
France	Vietnamese	1.3708333333333331	4
France	Visayan	2.0	1
France	Wolof	1.5916666666666668	2
France	Yiddish	1.75	1
France	Zulu	1.3166666666666667	1
Georgia	English	1.602222222222222	15
Georgia	French	1.4277777777777778	3
Georgia	Georgian	1.5642018779342721	142
Georgia	Russian	1.738888888888889	3
Georgia	Spanish	1.4166666666666667	1
Germany	Acholi	1.6333333333333333	1
Germany	Afrikaans	1.525	2
Germany	Albanian	1.6722222222222223	3
Germany	Amharic	1.3333333333333333	1
Germany	Arabic	1.4419354838709677	31
Germany	Armenian	1.7555555555555555	3
Germany	Bengali	1.635714285714286	7
Germany	Berber	1.8333333333333333	1
Germany	Bosnian	1.3333333333333333	1
Germany	Bulgarian	1.6055555555555554	3
Germany	Burmese	1.2125	4
Germany	Cantonese	1.4833333333333334	1
Germany	Catalan	1.8	1
Germany	Chinese	1.4833333333333332	7
Germany	Croatian	1.3833333333333333	1
Germany	Czech	1.4833333333333334	1
Germany	Danish	1.6916666666666667	2
Germany	Dari	1.2638888888888888	6
Germany	Dutch	1.4759259259259256	9
Germany	English	1.5529218533886566	964
Germany	Finnish	1.6611111111111112	3
Germany	Flemish	1.5333333333333334	1
Germany	French	1.5396825396825398	42
Germany	Georgian	1.5499999999999998	8
Germany	German	1.535536559916527	4153
Germany	Greek	1.4576923076923076	13
Germany	Hebrew	1.5187500000000003	16
Germany	Hindi	1.3433333333333333	5
Germany	Hungarian	1.4928571428571427	7
Germany	Icelandic	1.3766666666666667	5
Germany	Indonesian	1.2666666666666666	1
Germany	Italian	1.4844827586206895	29
Germany	Japanese	1.3933333333333333	5
Germany	Ju'hoan	1.4166666666666667	1
Germany	Kazakh	1.6388888888888886	3
Germany	Kinyarwanda	1.25	1
Germany	Korean	1.6444444444444446	3
Germany	Kurdish	1.4604166666666667	8
Germany	Kyrgyz	1.6	1
Germany	Latin	1.1833333333333333	1
Germany	Latvian	1.3666666666666667	1
Germany	Letzebuergesh	1.5416666666666665	2
Germany	Lingala	1.2666666666666666	2
Germany	Lithuanian	1.5	1
Germany	Low German	1.5	1
Germany	Macedonian	1.7	3
Germany	Mandarin	1.4875	4
Germany	Mongolian	1.4694444444444443	6
Germany	More	1.55	1
Germany	None	1.4893939393939393	11
Germany	Norwegian	2.825	2
Germany	Persian	1.4294871794871793	13
Germany	Polish	1.5551282051282054	13
Germany	Portuguese	1.4653846153846155	13
Germany	Punjabi	1.8166666666666667	1
Germany	Romanian	1.4522727272727272	22
Germany	Romany	1.3333333333333333	1
Germany	Russian	1.5224043715846989	61
Germany	Serbian	1.3958333333333333	4
Germany	Serbo-Croatian	1.4222222222222223	3
Germany	Sign Languages	1.25	1
Germany	Sinhala	1.525	2
Germany	Slovak	1.5666666666666667	3
Germany	Slovenian	1.3833333333333333	1
Germany	Somali	1.4333333333333333	1
Germany	Spanish	1.4372146118721456	73
Germany	Swahili	1.4166666666666667	1
Germany	Swedish	1.3055555555555556	3
Germany	Swiss German	1.5166666666666666	4
Germany	Tamil	1.2916666666666665	2
Germany	Thai	2.1416666666666666	2
Germany	Tibetan	1.8944444444444446	3
Germany	Tigrigna	1.5333333333333334	1
Germany	Turkish	1.4941176470588233	34
